BLKGRP,HHI1BASE,HHI2BASE,HHI3BASE,HHI4BASE
1,40,76,222,250
10,14,40,77,270
100,132,147,77,24
101,304,332,286,180
102,24,74,108,94
103,82,75,112,135
104,37,176,198,65
105,144,256,196,20
106,349,295,287,160
107,128,221,132,60
108,18,142,105,32
109,156,235,245,49
11,93,167,326,592
110,102,88,181,51
111,64,158,60,24
112,195,168,254,190
113,164,191,295,18
114,158,321,180,14
117,32,61,67,36
118,144,277,303,165
12,45,63,95,152
13,107,146,127,115
14,183,372,194,217
15,136,52,207,355
16,253,90,153,118
17,52,87,90,219
18,261,249,178,234
19,341,193,64,33
2,80,149,345,385
20,78,37,192,25
21,48,37,107,145
22,181,98,49,81
23,101,172,168,147
24,82,46,82,141
25,109,105,78,40
26,203,75,46,0
27,65,5,6,0
28,337,115,122,0
29,67,112,121,53
3,215,220,132,27
30,132,52,129,90
31,96,5,45,14
32,356,133,113,82
33,195,47,40,0
34,457,129,47,10
35,0,0,3,0
36,154,198,46,37
37,266,70,94,0
38,474,110,59,33
39,156,195,155,85
4,0,50,89,201
40,21,160,255,116
41,53,41,103,89
42,323,160,481,220
43,167,382,192,108
44,169,91,177,81
45,412,409,446,474
46,28,130,94,98
47,15,158,368,454
48,386,213,40,94
49,308,188,207,105
50,25,35,253,267
51,52,88,274,258
52,85,144,105,99
53,85,93,164,98
54,3,11,13,39
55,14,44,91,350
56,129,101,249,293
57,23,76,193,269
58,10,122,272,311
59,8,26,18,24
6,141,171,243,107
60,45,130,182,220
61,211,202,214,169
62,31,106,65,100
63,85,155,407,538
64,42,148,171,104
66,77,135,248,251
67,184,143,132,94
68,5,7,20,34
69,166,132,180,118
7,27,23,40,17
70,3,3,10,8
71,290,355,861,404
72,52,146,110,49
73,226,119,121,62
74,128,74,136,57
75,66,109,94,22
76,295,158,120,32
77,215,84,115,24
78,69,89,81,81
79,170,138,201,76
8,14,34,41,17
80,14,24,43,51
81,229,169,198,21
82,2,4,10,5
83,57,104,214,49
84,48,108,215,151
85,138,71,136,67
86,144,262,145,49
87,32,69,82,110
88,60,130,309,167
89,33,182,432,208
9,55,62,85,266
90,20,82,114,147
91,20,59,172,146
92,75,180,115,69
93,188,87,171,20
94,57,165,269,96
95,333,160,218,55
96,159,116,82,88
97,181,334,328,119
98,164,221,160,197
99,89,97,120,72
