TAZ,POPBASE,HHBASE,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHAGE1,HHAGE2,HHAGE3,HHAGE4,HHINC1,HHINC2,HHINC3,HHINC4,OSUFAM,OSUNFAM,STATEFP,COUNTYFP,TRACTCE,TRACTGEOID,PUMA,REGION,MAZ,xTAZ
100,152,57,11,23,6,17,0,24,18,15,5,7,24,21,2,0,41,3,10200,41003010200,600,1,1,12
101,874,295,41,84,71,99,6,225,44,20,24,38,122,111,17,1,41,3,10200,41003010200,600,1,2,12
102,12,5,1,3,0,1,1,4,0,0,0,1,2,2,0,0,41,3,10200,41003010200,600,1,3,12
103,34,16,5,7,2,2,0,3,8,5,1,2,7,6,0,0,41,3,10200,41003010200,600,1,4,12
104,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,41,3,10200,41003010200,600,1,5,12
105,128,50,5,29,8,8,1,22,19,8,3,7,14,26,2,0,41,3,10200,41003010200,600,1,6,12
106,284,115,14,67,14,20,1,47,35,32,3,10,21,81,7,2,41,3,500,41003000500,600,1,7,4
107,79,37,7,23,2,5,0,14,9,14,2,6,7,22,2,1,41,3,10200,41003010200,600,1,8,12
108,86,37,9,19,3,6,0,12,11,14,1,3,7,26,3,2,41,3,500,41003000500,600,1,9,4
109,280,138,58,52,11,17,9,60,36,33,27,29,51,31,10,6,41,3,500,41003000500,600,1,10,4
110,19,9,3,3,2,1,0,4,3,2,4,2,2,1,1,1,41,3,600,41003000600,600,1,11,5
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,600,41003000600,600,1,12,5
112,13,5,2,1,1,1,0,2,2,1,2,1,1,1,1,1,41,3,600,41003000600,600,1,13,5
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,600,41003000600,600,1,14,5
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,600,41003000600,600,1,15,5
115,218,103,40,39,9,15,6,41,26,30,39,24,27,13,12,28,41,3,600,41003000600,600,1,16,5
116,633,245,50,83,55,57,7,142,49,47,93,57,63,32,30,47,41,3,600,41003000600,600,1,17,5
117,852,386,138,158,55,35,73,165,48,100,147,90,99,50,40,78,41,3,600,41003000600,600,1,18,5
118,153,60,10,26,12,12,4,28,13,15,23,14,15,8,7,10,41,3,600,41003000600,600,1,19,5
119,289,108,20,37,21,30,7,73,14,14,24,45,25,14,15,29,41,3,600,41003000600,600,1,20,5
120,419,170,39,62,35,34,13,97,29,31,33,77,38,22,20,30,41,3,600,41003000600,600,1,21,5
121,1129,571,213,226,82,50,82,277,61,151,110,260,129,72,56,109,41,3,600,41003000600,600,1,22,5
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,600,41003000600,600,1,23,5
123,41,16,3,7,2,4,0,9,3,4,2,3,4,7,2,2,41,3,500,41003000500,600,1,24,4
124,100,34,4,11,10,9,0,18,8,8,3,5,9,17,4,3,41,3,400,41003000400,600,1,25,3
125,216,69,4,30,9,26,0,40,16,13,5,10,19,35,7,4,41,3,400,41003000400,600,1,26,3
126,180,61,5,30,7,19,1,25,22,13,2,6,12,41,9,13,41,3,900,41003000900,600,1,27,6
127,2241,920,208,386,136,190,32,386,225,277,73,130,255,462,118,250,41,3,400,41003000400,600,1,28,3
128,423,155,28,48,33,46,9,114,25,7,12,22,43,78,23,51,41,3,400,41003000400,600,1,29,3
129,978,441,134,174,76,57,27,210,108,96,125,119,85,112,53,131,41,3,400,41003000400,600,1,30,3
130,353,141,28,58,30,25,2,62,40,37,18,25,38,60,16,23,41,3,500,41003000500,600,1,31,4
131,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,41,3,500,41003000500,600,1,32,4
132,414,197,110,43,18,26,2,44,24,127,25,35,53,84,17,24,41,3,500,41003000500,600,1,33,4
133,313,125,31,49,14,31,11,57,23,34,27,37,32,29,16,36,41,3,1001,41003001001,600,1,34,7
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,1001,41003001001,600,1,35,7
135,438,156,30,56,25,45,28,93,22,13,34,46,40,36,24,63,41,3,1001,41003001001,600,1,36,7
136,414,214,92,74,28,20,10,67,31,106,46,63,55,50,21,42,41,3,1001,41003001001,600,1,37,7
137,958,446,177,135,66,68,57,266,67,56,184,65,111,86,51,119,41,3,1001,41003001001,600,1,38,7
138,424,168,41,65,24,38,7,86,42,33,69,25,42,32,24,62,41,3,1001,41003001001,600,1,39,7
139,864,425,159,156,64,46,72,245,40,68,120,115,82,108,50,149,41,3,400,41003000400,600,1,40,3
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,400,41003000400,600,1,41,3
141,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,41,3,400,41003000400,600,1,42,3
142,143,55,12,16,13,14,5,31,9,10,15,15,11,14,9,33,41,3,400,41003000400,600,1,43,3
143,588,252,60,114,36,42,5,95,55,97,29,49,51,123,35,109,41,3,400,41003000400,600,1,44,3
144,484,196,34,83,42,37,4,65,44,83,23,38,39,96,30,99,41,3,400,41003000400,600,1,45,3
145,675,309,111,111,36,51,50,173,38,48,56,22,85,146,37,88,41,3,400,41003000400,600,1,46,3
146,495,205,42,84,38,41,10,94,57,44,39,79,41,46,24,46,41,3,900,41003000900,600,1,47,6
147,327,122,18,49,22,33,0,62,27,33,4,12,24,82,15,20,41,3,900,41003000900,600,1,48,6
148,376,151,23,74,26,28,0,58,47,46,5,15,29,102,16,19,41,3,900,41003000900,600,1,49,6
149,122,49,3,29,8,9,1,17,17,14,2,5,9,33,5,5,41,3,900,41003000900,600,1,50,6
150,44,18,5,8,1,4,2,9,3,4,1,2,3,12,2,5,41,3,900,41003000900,600,1,51,6
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,900,41003000900,600,1,52,6
152,1130,632,287,245,60,40,234,317,54,27,120,243,127,142,74,325,41,3,900,41003000900,600,1,53,6
153,1111,441,70,198,79,94,4,218,115,104,80,30,122,209,66,197,41,3,400,41003000400,600,1,54,3
154,329,129,19,61,19,30,1,37,45,46,24,50,26,29,22,102,41,3,900,41003000900,600,1,55,6
155,162,65,14,27,10,14,3,23,19,20,9,7,21,28,9,40,41,3,900,41003000900,600,1,56,6
156,186,76,17,35,9,15,2,27,15,32,11,8,24,33,12,39,41,3,900,41003000900,600,1,57,6
157,470,196,40,84,38,34,15,72,45,64,28,22,62,84,28,123,41,3,900,41003000900,600,1,58,6
158,229,92,15,38,22,17,9,40,21,22,41,22,11,18,13,62,41,3,1002,41003001002,600,1,59,8
159,280,128,37,52,22,17,11,68,27,22,30,14,74,10,18,61,41,3,1002,41003001002,600,1,60,8
160,405,159,39,55,29,36,7,73,32,47,37,18,92,12,24,68,41,3,1002,41003001002,600,1,61,8
161,48,11,1,5,2,3,1,6,3,1,3,1,6,1,2,3,41,3,1002,41003001002,600,1,62,8
162,92,34,7,11,5,11,1,19,3,11,8,4,20,2,5,15,41,3,1002,41003001002,600,1,63,8
165,505,245,114,67,24,40,70,141,21,13,132,75,25,13,33,151,41,3,1001,41003001001,600,1,64,7
166,371,157,38,66,27,26,7,71,27,52,27,46,45,39,23,80,41,3,1002,41003001002,600,1,65,8
167,343,147,42,58,25,22,18,84,30,15,25,43,42,37,22,87,41,3,1002,41003001002,600,1,66,8
168,506,224,68,81,38,37,76,104,30,14,39,65,64,56,29,128,41,3,1002,41003001002,600,1,67,8
169,139,60,19,22,8,11,4,29,14,13,10,18,17,15,9,31,41,3,1002,41003001002,600,1,68,8
170,746,317,70,142,48,57,103,129,37,48,140,76,38,63,47,271,41,3,1002,41003001002,600,1,69,8
173,231,115,57,49,4,5,67,42,3,3,69,4,32,10,14,115,41,3,1101,41003001101,600,1,70,9
178,534,231,66,89,30,46,126,83,14,8,75,30,74,52,33,186,41,3,1102,41003001102,600,1,71,10
179,68,34,9,17,7,1,12,15,3,4,6,11,12,5,4,21,41,3,1102,41003001102,600,1,72,10
180,471,186,47,64,31,44,19,92,37,38,35,59,64,28,27,112,41,3,1102,41003001102,600,1,73,10
181,18,10,3,6,1,0,2,3,3,2,2,3,3,2,1,4,41,3,1102,41003001102,600,1,74,10
182,402,172,41,76,27,28,40,71,39,22,57,22,55,38,27,172,41,3,1102,41003001102,600,1,75,10
