RT,SERIALNO,DIVISION,PUMA,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACR,AGS,BDS,BLD,BUS,CONP,ELEP,FS,FULP,GASP,HFL,INSP,MHP,MRGI,MRGP,MRGT,MRGX,RMS,RNTM,RNTP,SMP,TEL,TEN,VACS,VAL,VEH,WATP,YBL,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACRP,FAGSP,FBDSP,FBLDP,FBUSP,FCONP,FELEP,FFSP,FFULP,FGASP,FHFLP,FINSP,FKITP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FPLMP,FRMSP,FRNTMP,FRNTP,FSMP,FSMXHP,FSMXSP,FTAXP,FTELP,FTENP,FVACSP,FVALP,FVEHP,FWATP,FYBLP,WGTP1,WGTP2,WGTP3,WGTP4,WGTP5,WGTP6,WGTP7,WGTP8,WGTP9,WGTP10,WGTP11,WGTP12,WGTP13,WGTP14,WGTP15,WGTP16,WGTP17,WGTP18,WGTP19,WGTP20,WGTP21,WGTP22,WGTP23,WGTP24,WGTP25,WGTP26,WGTP27,WGTP28,WGTP29,WGTP30,WGTP31,WGTP32,WGTP33,WGTP34,WGTP35,WGTP36,WGTP37,WGTP38,WGTP39,WGTP40,WGTP41,WGTP42,WGTP43,WGTP44,WGTP45,WGTP46,WGTP47,WGTP48,WGTP49,WGTP50,WGTP51,WGTP52,WGTP53,WGTP54,WGTP55,WGTP56,WGTP57,WGTP58,WGTP59,WGTP60,WGTP61,WGTP62,WGTP63,WGTP64,WGTP65,WGTP66,WGTP67,WGTP68,WGTP69,WGTP70,WGTP71,WGTP72,WGTP73,WGTP74,WGTP75,WGTP76,WGTP77,WGTP78,WGTP79,WGTP80,AGEHOH,HTYPE,NWESR,nuniv_schg,HHINCADJ,famTag,dupcount,n,hhnum
H,2006000000530,9,600,4,41,1081391,1098342,42,4,1,1,,3,2,2,0,50,2,2,30,1,1200,,,,,3,8,,,,1,2,,19,4,700,5,7,8000,2,,,1,3,8004,0,3,3,3,1,1,3,2,3,0,1,2,74,4,1,0,1,0,0,2,496,,0,1,43,1,14,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,41,37,61,45,43,43,39,71,42,41,13,14,71,68,13,47,72,14,43,14,44,37,79,47,36,35,39,69,46,44,13,12,71,57,13,44,70,13,41,74,45,38,15,40,34,43,43,12,40,35,80,72,14,16,75,37,12,75,43,62,48,41,12,39,41,42,45,14,38,40,68,71,14,14,62,53,14,59,40,35,1,2,0,6191.9546,1,1,1,1
H,2006000002056,9,600,4,41,1081391,1098342,18,1,1,1,,2,3,2,140,50,2,2,40,1,180,,1,330,1,1,5,,,,1,1,,15,1,50,2,,,,,,1,6,24800,0,4,4,4,1,1,2,0,,0,0,0,27,0,1,0,0,1,1,1,564,3,0,1,31,0,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,32,31,18,31,27,18,20,18,19,27,20,33,17,29,30,31,27,18,19,16,5,6,18,6,7,17,15,16,16,6,18,6,19,6,6,5,5,18,15,17,6,5,18,4,5,18,18,18,17,6,16,5,16,7,6,4,5,19,20,19,30,37,16,28,32,19,18,16,17,29,18,31,18,30,33,28,28,18,66,4,0,0,19185.467,0,1,1,2
H,2006000005620,9,600,4,41,1081391,1098342,19,2,1,1,,4,2,2,0,30,2,2,100,1,,,,,,,7,,,,1,4,,,2,480,6,1,94850,4,,,1,1,94850,0,4,4,4,1,1,5,0,2,0,0,0,,0,1,0,0,0,0,1,,,1,0,,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,30,28,19,7,21,7,35,4,18,7,18,30,31,21,8,15,32,8,6,30,16,19,32,17,35,21,22,17,7,21,7,22,19,7,20,30,15,19,16,18,8,6,19,31,15,36,6,37,19,31,19,6,8,17,34,19,7,32,35,5,21,18,7,18,6,17,21,23,34,22,34,19,18,35,22,4,23,57,1,2,0,73376.68,1,1,1,3
H,2006000012137,9,600,4,41,1081391,1098342,18,2,1,1,,2,2,2,0,80,2,300,3,4,1000,,,,,3,5,,,,1,2,,17,2,2,7,2,96400,4,,,1,1,96400,0,4,4,4,1,1,6,0,2,0,0,0,4,0,1,0,0,2,2,2,288,,0,1,24,1,8,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,26,28,5,19,20,30,10,19,17,6,15,20,7,18,24,15,8,29,27,9,20,21,16,8,37,17,19,27,28,18,7,6,16,33,6,32,19,17,17,18,29,29,6,19,21,26,9,20,18,6,15,20,7,18,20,14,7,31,28,9,16,18,17,6,27,19,19,26,28,20,8,6,16,36,8,34,14,17,18,18,84,1,1,0,74575.766,1,1,1,4
H,2006000012450,9,600,4,41,1081391,1098342,4,1,1,2,1,1,2,2,0,130,1,2,3,3,320,,,,,3,4,,,,1,2,,21,0,720,9,,,,,,1,4,10000,0,4,4,4,1,1,6,0,,0,0,0,54,0,1,0,0,1,1,2,450,,0,1,40,0,,,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,6,7,9,8,8,5,2,6,6,4,6,9,6,2,2,2,6,6,4,9,6,7,1,3,1,4,7,6,3,6,6,3,4,8,7,8,6,5,4,2,6,6,9,9,7,5,1,6,8,4,5,9,5,2,3,1,5,6,5,9,4,4,1,1,1,4,9,5,2,4,6,3,6,7,7,9,6,5,5,1,89,1,0,0,7736.0757,0,1,1,5
H,2006000013937,9,600,4,41,1081391,1098342,18,6,1,1,,4,3,2,0,180,2,2,3,3,600,,2,1200,1,1,6,,,,1,1,,16,3,1000,3,1,115090,2,,,1,1,115090,0,2,2,2,1,1,4,4,6,0,0,4,16,0,1,0,1,0,0,2,1513,3,0,1,34,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,7,25,23,15,9,14,37,21,6,10,23,16,11,22,21,29,27,18,17,9,14,16,19,17,27,15,6,18,30,24,15,20,15,9,23,10,8,11,17,7,27,15,20,18,26,21,6,21,29,24,14,13,22,8,11,9,9,19,21,24,9,18,20,25,10,20,25,18,8,10,22,16,10,25,17,30,30,15,20,40,4,3,0,89034.492,1,1,1,6
H,2006000014967,9,600,4,41,1081391,1098342,7,2,1,1,,2,3,2,0,80,2,2,3,3,,,,,,,4,2,600,,1,3,,,2,1,6,,,,680,22,1,7,37400,0,4,4,4,1,1,1,0,,0,1,0,,0,1,0,0,0,0,1,,,1,0,,0,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,24,13,15,17,17,28,13,9,6,5,21,22,4,15,28,6,4,16,20,15,6,13,19,17,11,4,17,13,22,23,3,5,28,14,4,28,23,15,16,17,6,14,16,15,13,5,13,16,31,21,5,5,20,15,3,29,24,13,15,19,16,16,17,16,16,24,14,14,6,5,24,24,3,17,22,5,4,18,16,23,4,2,2,28932.922,0,2,1,7
H,2006000014967,9,600,4,41,1081391,1098342,7,2,1,1,,2,3,2,0,80,2,2,3,3,,,,,,,4,2,600,,1,3,,,2,1,6,,,,680,22,1,7,37400,0,4,4,4,1,1,1,0,,0,1,0,,0,1,0,0,0,0,1,,,1,0,,0,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,24,13,15,17,17,28,13,9,6,5,21,22,4,15,28,6,4,16,20,15,6,13,19,17,11,4,17,13,22,23,3,5,28,14,4,28,23,15,16,17,6,14,16,15,13,5,13,16,31,21,5,5,20,15,3,29,24,13,15,19,16,16,17,16,16,24,14,14,6,5,24,24,3,17,22,5,4,18,16,23,4,2,2,28932.922,0,2,2,8
H,2006000020170,9,600,4,41,1081391,1098342,14,2,1,1,,3,2,2,0,50,2,2,3,3,100,,1,1100,1,1,7,,,,1,1,,17,4,600,3,,,,,,1,5,53000,0,4,4,4,1,1,1,0,,0,1,0,27,0,1,0,0,0,0,2,1200,3,0,1,28,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,5,23,5,14,14,27,27,27,15,15,5,25,16,3,16,15,14,3,4,12,16,16,14,24,5,14,14,14,29,3,15,16,24,16,24,24,5,17,15,23,24,5,22,16,13,5,5,5,11,15,26,4,12,27,14,15,16,27,27,14,16,16,18,5,25,17,10,14,3,23,15,14,5,14,5,4,24,15,47,1,2,0,41001.199,0,1,1,9
H,2006000027075,9,600,4,41,1081391,1098342,14,1,1,2,1,1,2,2,0,30,1,230,70,1,1000,,1,500,2,1,4,,,100,1,1,,14,0,240,8,,,,,,1,4,27410,0,4,4,4,1,1,5,0,,0,0,0,34,0,1,0,0,0,0,2,767,4,0,1,8,0,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,20,4,23,23,14,23,16,18,28,16,16,15,28,7,4,3,3,15,6,12,12,27,6,11,19,7,16,15,4,11,16,16,5,17,26,34,23,14,33,13,12,4,38,15,13,31,12,15,24,9,13,13,26,4,5,6,6,14,5,18,13,23,4,18,15,3,26,14,7,16,13,13,5,29,20,21,21,16,51,1,0,0,21204.582,0,1,1,10
