"TAZ","STATEFP","COUNTYFP","TRACTCE","GEOID","NAME","NAMELSAD","PUMA","REGION"
100,41,3,10200,41003010200,102,"Census Tract 102",600,1
101,41,3,10200,41003010200,102,"Census Tract 102",600,1
102,41,3,10200,41003010200,102,"Census Tract 102",600,1
103,41,3,10200,41003010200,102,"Census Tract 102",600,1
104,41,3,10200,41003010200,102,"Census Tract 102",600,1
105,41,3,10200,41003010200,102,"Census Tract 102",600,1
106,41,3,500,41003000500,5,"Census Tract 5",600,1
107,41,3,10200,41003010200,102,"Census Tract 102",600,1
108,41,3,500,41003000500,5,"Census Tract 5",600,1
109,41,3,500,41003000500,5,"Census Tract 5",600,1
110,41,3,600,41003000600,6,"Census Tract 6",600,1
111,41,3,600,41003000600,6,"Census Tract 6",600,1
112,41,3,600,41003000600,6,"Census Tract 6",600,1
113,41,3,600,41003000600,6,"Census Tract 6",600,1
114,41,3,600,41003000600,6,"Census Tract 6",600,1
115,41,3,600,41003000600,6,"Census Tract 6",600,1
116,41,3,600,41003000600,6,"Census Tract 6",600,1
117,41,3,600,41003000600,6,"Census Tract 6",600,1
118,41,3,600,41003000600,6,"Census Tract 6",600,1
119,41,3,600,41003000600,6,"Census Tract 6",600,1
120,41,3,600,41003000600,6,"Census Tract 6",600,1
121,41,3,600,41003000600,6,"Census Tract 6",600,1
122,41,3,600,41003000600,6,"Census Tract 6",600,1
123,41,3,500,41003000500,5,"Census Tract 5",600,1
124,41,3,400,41003000400,4,"Census Tract 4",600,1
125,41,3,400,41003000400,4,"Census Tract 4",600,1
126,41,3,900,41003000900,9,"Census Tract 9",600,1
127,41,3,400,41003000400,4,"Census Tract 4",600,1
128,41,3,400,41003000400,4,"Census Tract 4",600,1
129,41,3,400,41003000400,4,"Census Tract 4",600,1
130,41,3,500,41003000500,5,"Census Tract 5",600,1
131,41,3,500,41003000500,5,"Census Tract 5",600,1
132,41,3,500,41003000500,5,"Census Tract 5",600,1
133,41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
134,41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
135,41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
136,41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
137,41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
138,41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
139,41,3,400,41003000400,4,"Census Tract 4",600,1
140,41,3,400,41003000400,4,"Census Tract 4",600,1
141,41,3,400,41003000400,4,"Census Tract 4",600,1
142,41,3,400,41003000400,4,"Census Tract 4",600,1
143,41,3,400,41003000400,4,"Census Tract 4",600,1
144,41,3,400,41003000400,4,"Census Tract 4",600,1
145,41,3,400,41003000400,4,"Census Tract 4",600,1
146,41,3,900,41003000900,9,"Census Tract 9",600,1
147,41,3,900,41003000900,9,"Census Tract 9",600,1
148,41,3,900,41003000900,9,"Census Tract 9",600,1
149,41,3,900,41003000900,9,"Census Tract 9",600,1
150,41,3,900,41003000900,9,"Census Tract 9",600,1
151,41,3,900,41003000900,9,"Census Tract 9",600,1
152,41,3,900,41003000900,9,"Census Tract 9",600,1
153,41,3,400,41003000400,4,"Census Tract 4",600,1
154,41,3,900,41003000900,9,"Census Tract 9",600,1
155,41,3,900,41003000900,9,"Census Tract 9",600,1
156,41,3,900,41003000900,9,"Census Tract 9",600,1
157,41,3,900,41003000900,9,"Census Tract 9",600,1
158,41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
159,41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
160,41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
161,41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
162,41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
165,41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
166,41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
167,41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
168,41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
169,41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
170,41,3,1002,41003001002,10.02,"Census Tract 10.02",600,1
173,41,3,1101,41003001101,11.01,"Census Tract 11.01",600,1
178,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
179,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
180,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
181,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
182,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
183,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
184,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
185,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
186,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
187,41,3,600,41003000600,6,"Census Tract 6",600,1
188,41,3,10600,41003010600,106,"Census Tract 106",600,1
189,41,3,10600,41003010600,106,"Census Tract 106",600,1
190,41,3,10600,41003010600,106,"Census Tract 106",600,1
191,41,3,10600,41003010600,106,"Census Tract 106",600,1
192,41,3,10600,41003010600,106,"Census Tract 106",600,1
193,41,3,10600,41003010600,106,"Census Tract 106",600,1
194,41,3,10600,41003010600,106,"Census Tract 106",600,1
195,41,3,10600,41003010600,106,"Census Tract 106",600,1
196,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
197,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
198,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
199,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
200,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
201,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
202,41,3,1101,41003001101,11.01,"Census Tract 11.01",600,1
203,41,3,1101,41003001101,11.01,"Census Tract 11.01",600,1
204,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
205,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
206,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
207,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
208,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
209,41,3,10600,41003010600,106,"Census Tract 106",600,1
210,41,3,10600,41003010600,106,"Census Tract 106",600,1
211,41,3,10600,41003010600,106,"Census Tract 106",600,1
212,41,3,10600,41003010600,106,"Census Tract 106",600,1
213,41,3,10600,41003010600,106,"Census Tract 106",600,1
214,41,3,10600,41003010600,106,"Census Tract 106",600,1
215,41,3,10600,41003010600,106,"Census Tract 106",600,1
216,41,3,10600,41003010600,106,"Census Tract 106",600,1
217,41,3,10600,41003010600,106,"Census Tract 106",600,1
218,41,3,10600,41003010600,106,"Census Tract 106",600,1
219,41,3,10600,41003010600,106,"Census Tract 106",600,1
220,41,3,10600,41003010600,106,"Census Tract 106",600,1
221,41,3,10600,41003010600,106,"Census Tract 106",600,1
222,41,3,10600,41003010600,106,"Census Tract 106",600,1
223,41,3,10600,41003010600,106,"Census Tract 106",600,1
224,41,3,10600,41003010600,106,"Census Tract 106",600,1
225,41,3,10600,41003010600,106,"Census Tract 106",600,1
227,41,3,10600,41003010600,106,"Census Tract 106",600,1
228,41,3,10600,41003010600,106,"Census Tract 106",600,1
229,41,3,10600,41003010600,106,"Census Tract 106",600,1
230,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
231,41,3,10900,41003010900,109,"Census Tract 109",600,1
232,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
233,41,3,10900,41003010900,109,"Census Tract 109",600,1
234,41,3,10900,41003010900,109,"Census Tract 109",600,1
235,41,3,10800,41003010800,108,"Census Tract 108",600,1
236,41,3,10800,41003010800,108,"Census Tract 108",600,1
237,41,3,10900,41003010900,109,"Census Tract 109",600,1
238,41,3,10800,41003010800,108,"Census Tract 108",600,1
239,41,3,10800,41003010800,108,"Census Tract 108",600,1
240,41,3,10800,41003010800,108,"Census Tract 108",600,1
241,41,3,10800,41003010800,108,"Census Tract 108",600,1
242,41,3,10800,41003010800,108,"Census Tract 108",600,1
243,41,3,10800,41003010800,108,"Census Tract 108",600,1
246,41,3,10800,41003010800,108,"Census Tract 108",600,1
247,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
248,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
249,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
250,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
251,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
252,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
253,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
254,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
255,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
256,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
257,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
258,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
259,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
260,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
261,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
262,41,3,100,41003000100,1,"Census Tract 1",600,1
263,41,3,100,41003000100,1,"Census Tract 1",600,1
264,41,3,100,41003000100,1,"Census Tract 1",600,1
265,41,3,10400,41003010400,104,"Census Tract 104",600,1
266,41,3,10400,41003010400,104,"Census Tract 104",600,1
267,41,3,10400,41003010400,104,"Census Tract 104",600,1
268,41,3,10400,41003010400,104,"Census Tract 104",600,1
269,41,3,10300,41003010300,103,"Census Tract 103",600,1
270,41,3,10300,41003010300,103,"Census Tract 103",600,1
271,41,3,10300,41003010300,103,"Census Tract 103",600,1
272,41,3,10200,41003010200,102,"Census Tract 102",600,1
273,41,3,10200,41003010200,102,"Census Tract 102",600,1
274,41,3,10200,41003010200,102,"Census Tract 102",600,1
275,41,3,10200,41003010200,102,"Census Tract 102",600,1
276,41,3,10200,41003010200,102,"Census Tract 102",600,1
277,41,3,500,41003000500,5,"Census Tract 5",600,1
278,41,3,500,41003000500,5,"Census Tract 5",600,1
279,41,3,500,41003000500,5,"Census Tract 5",600,1
280,41,3,500,41003000500,5,"Census Tract 5",600,1
281,41,3,500,41003000500,5,"Census Tract 5",600,1
282,41,3,500,41003000500,5,"Census Tract 5",600,1
283,41,3,600,41003000600,6,"Census Tract 6",600,1
284,41,3,600,41003000600,6,"Census Tract 6",600,1
285,41,3,600,41003000600,6,"Census Tract 6",600,1
286,41,3,600,41003000600,6,"Census Tract 6",600,1
287,41,3,600,41003000600,6,"Census Tract 6",600,1
288,41,3,600,41003000600,6,"Census Tract 6",600,1
289,41,3,10200,41003010200,102,"Census Tract 102",600,1
290,41,3,10200,41003010200,102,"Census Tract 102",600,1
292,41,3,900,41003000900,9,"Census Tract 9",600,1
293,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
294,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
295,41,3,10600,41003010600,106,"Census Tract 106",600,1
296,41,3,10600,41003010600,106,"Census Tract 106",600,1
297,41,3,10600,41003010600,106,"Census Tract 106",600,1
298,41,3,10600,41003010600,106,"Census Tract 106",600,1
299,41,3,10600,41003010600,106,"Census Tract 106",600,1
300,41,3,10600,41003010600,106,"Census Tract 106",600,1
301,41,3,10600,41003010600,106,"Census Tract 106",600,1
302,41,3,10600,41003010600,106,"Census Tract 106",600,1
303,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
304,41,3,100,41003000100,1,"Census Tract 1",600,1
306,41,3,100,41003000100,1,"Census Tract 1",600,1
307,41,3,100,41003000100,1,"Census Tract 1",600,1
