"TAZ","POPBASE","HHBASE","HHS1BASE","HHS2BASE","HHS3BASE","HHS4BASE","AGE1BASE","AGE2BASE","AGE3BASE","AGE4BASE","HHI1BASE","HHI2BASE","HHI3BASE","HHI4BASE","PSFD","GQPOPBASE"
100,152,57,11,23,6,17,0,24,18,15,5,7,24,21,0.8519,0
101,874,295,41,84,71,99,6,225,44,20,24,38,122,111,0.8462,0
102,12,5,1,3,0,1,1,4,0,0,0,1,2,2,1,0
103,34,16,5,7,2,2,0,3,8,5,1,2,7,6,0.8333,0
104,2,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
105,128,50,5,29,8,8,1,22,19,8,3,7,14,26,0.8852,0
106,284,115,14,67,14,20,1,47,35,32,3,10,21,81,0.9576,0
107,79,37,7,23,2,5,0,14,9,14,2,6,7,22,0.9302,0
108,86,37,9,19,3,6,0,12,11,14,1,3,7,26,0.9429,0
109,280,138,58,52,11,17,9,60,36,33,27,29,51,31,0.7401,0
110,19,9,3,3,2,1,0,4,3,2,4,2,2,1,0.6154,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,13,5,2,1,1,1,0,2,2,1,2,1,1,1,0.6,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,218,103,40,39,9,15,6,41,26,30,39,24,27,13,0.5882,0
116,633,245,50,83,55,57,7,142,49,47,93,57,63,32,0.5891,0
117,852,386,138,158,55,35,73,165,48,100,147,90,99,50,0.5885,74
118,153,60,10,26,12,12,4,28,13,15,23,14,15,8,0.5915,0
119,289,108,20,37,21,30,7,73,14,14,24,45,25,14,0.2773,0
120,419,170,39,62,35,34,13,97,29,31,33,77,38,22,0.2247,0
121,1129,571,213,226,82,50,82,277,61,151,110,260,129,72,0.2247,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,41,16,3,7,2,4,0,9,3,4,2,3,4,7,0.7222,0
124,100,34,4,11,10,9,0,18,8,8,3,5,9,17,0.75,0
125,216,69,4,30,9,26,0,40,16,13,5,10,19,35,0.7463,0
126,180,61,5,30,7,19,1,25,22,13,2,6,12,41,1,0
127,2241,920,208,386,136,190,32,386,225,277,73,130,255,462,0.7517,0
128,423,155,28,48,33,46,9,114,25,7,12,22,43,78,0.7516,0
129,978,441,134,174,76,57,27,210,108,96,125,119,85,112,0.3953,0
130,353,141,28,58,30,25,2,62,40,37,18,25,38,60,0.7338,0
131,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0.8,0
132,414,197,110,43,18,26,2,44,24,127,25,35,53,84,0.734,46
133,313,125,31,49,14,31,11,57,23,34,27,37,32,29,0.3097,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,438,156,30,56,25,45,28,93,22,13,34,46,40,36,0.3176,0
136,414,214,92,74,28,20,10,67,31,106,46,63,55,50,0.3208,0
137,958,446,177,135,66,68,57,266,67,56,184,65,111,86,0.4882,0
138,424,168,41,65,24,38,7,86,42,33,69,25,42,32,0.4914,0
139,864,425,159,156,64,46,72,245,40,68,120,115,82,108,0.3914,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
142,143,55,12,16,13,14,5,31,9,10,15,15,11,14,0.3878,0
143,588,252,60,114,36,42,5,95,55,97,29,49,51,123,1,5
144,484,196,34,83,42,37,4,65,44,83,23,38,39,96,1,0
145,675,309,111,111,36,51,50,173,38,48,56,22,85,146,0.8087,0
146,495,205,42,84,38,41,10,94,57,44,39,79,41,46,0.2952,0
147,327,122,18,49,22,33,0,62,27,33,4,12,24,82,1,0
148,376,151,23,74,26,28,0,58,47,46,5,15,29,102,1,0
149,122,49,3,29,8,9,1,17,17,14,2,5,9,33,1,0
150,44,18,5,8,1,4,2,9,3,4,1,2,3,12,1,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1130,632,287,245,60,40,234,317,54,27,120,243,127,142,0.2938,0
153,1111,441,70,198,79,94,4,218,115,104,80,30,122,209,0.8034,0
154,329,129,19,61,19,30,1,37,45,46,24,50,26,29,0.2961,0
155,162,65,14,27,10,14,3,23,19,20,9,7,21,28,0.9583,0
156,186,76,17,35,9,15,2,27,15,32,11,8,24,33,0.9518,0
157,470,196,40,84,38,34,15,72,45,64,28,22,62,84,0.9557,0
158,229,92,15,38,22,17,9,40,21,22,41,22,11,18,0.4898,0
159,280,128,37,52,22,17,11,68,27,22,30,14,74,10,0.8926,0
160,405,159,39,55,29,36,7,73,32,47,37,18,92,12,0.8904,0
161,48,11,1,5,2,3,1,6,3,1,3,1,6,1,0.9,18
162,92,34,7,11,5,11,1,19,3,11,8,4,20,2,0.8857,0
165,505,245,114,67,24,40,70,141,21,13,132,75,25,13,0.0826,0
166,371,157,38,66,27,26,7,71,27,52,27,46,45,39,0.7279,0
167,343,147,42,58,25,22,18,84,30,15,25,43,42,37,0.7273,0
