TAZ,PUMA,REGION,STATE
3331,607316,4,6
3331,607316,4,6
3358,607316,4,6
3358,607316,4,6
3358,607316,4,6
3358,607316,4,6
3407,607316,4,6
3407,607316,4,6
3407,607316,4,6
3407,607316,4,6
3407,607316,4,6
3407,607316,4,6
3407,607316,4,6
3407,607316,4,6
3407,607316,4,6
3458,607316,4,6
3458,607316,4,6
3331,607316,4,6
3331,607316,4,6
3331,607316,4,6
3331,607316,4,6
3331,607316,4,6
3331,607316,4,6
3379,607316,4,6
3331,607316,4,6
3331,607316,4,6
3379,607316,4,6
3385,607316,4,6
3379,607316,4,6
3379,607316,4,6
3379,607316,4,6
3379,607316,4,6
3385,607316,4,6
3379,607316,4,6
3379,607316,4,6
3385,607316,4,6
3379,607316,4,6
3379,607316,4,6
3379,607316,4,6
3379,607316,4,6
3379,607316,4,6
3379,607316,4,6
3457,607316,4,6
3457,607316,4,6
3458,607316,4,6
3457,607316,4,6
3458,607316,4,6
3458,607316,4,6
3457,607316,4,6
3458,607316,4,6
3457,607316,4,6
3458,607316,4,6
3457,607316,4,6
3458,607316,4,6
3458,607316,4,6
3458,607316,4,6
3457,607316,4,6
3458,607316,4,6
3458,607316,4,6
3458,607316,4,6
3458,607316,4,6
3458,607316,4,6
3458,607316,4,6
3349,607316,4,6
3349,607316,4,6
3349,607316,4,6
3371,607316,4,6
3349,607316,4,6
3349,607316,4,6
3349,607316,4,6
3430,607316,4,6
3430,607316,4,6
3430,607316,4,6
3431,607316,4,6
3448,607316,4,6
3448,607316,4,6
3448,607316,4,6
3430,607316,4,6
3430,607316,4,6
3430,607316,4,6
3431,607316,4,6
3431,607316,4,6
3448,607316,4,6
3430,607316,4,6
3448,607316,4,6
3431,607316,4,6
3430,607316,4,6
3448,607316,4,6
3430,607316,4,6
3430,607316,4,6
3431,607316,4,6
3448,607316,4,6
3448,607316,4,6
3448,607316,4,6
3504,607316,4,6
3504,607316,4,6
3549,607316,4,6
3549,607316,4,6
3549,607316,4,6
3537,607316,4,6
3593,607316,4,6
3537,607316,4,6
3593,607316,4,6
3593,607316,4,6
3537,607316,4,6
3593,607316,4,6
3593,607316,4,6
3537,607316,4,6
3470,607316,4,6
3470,607316,4,6
3470,607316,4,6
3470,607316,4,6
3527,607316,4,6
3527,607316,4,6
3527,607316,4,6
3527,607316,4,6
3527,607316,4,6
3482,607316,4,6
3482,607316,4,6
3482,607316,4,6
3482,607316,4,6
3482,607316,4,6
3482,607316,4,6
3482,607316,4,6
3482,607316,4,6
3537,607316,4,6
3538,607316,4,6
3537,607316,4,6
3538,607316,4,6
3537,607316,4,6
3565,607316,4,6
3537,607316,4,6
3565,607316,4,6
3565,607316,4,6
3565,607316,4,6
3606,607316,4,6
3565,607316,4,6
3537,607316,4,6
3565,607316,4,6
3606,607316,4,6
3606,607316,4,6
3482,607316,4,6
3537,607316,4,6
3503,607316,4,6
3503,607316,4,6
3503,607316,4,6
3510,607316,4,6
3510,607316,4,6
3503,607316,4,6
3503,607316,4,6
3503,607316,4,6
3516,607316,4,6
3516,607316,4,6
3522,607316,4,6
3522,607316,4,6
3547,607316,4,6
3551,607316,4,6
3551,607316,4,6
3547,607316,4,6
3547,607316,4,6
