hh_id,household_serial_no,TAZ,MAZ,hinccat1,hinc,hworkers,veh,persons,hht,bldgsz,unittype,version,poverty,SampleRate
603391,0,646,14468,1,12544,1,0,2,1,8,0,0,0.952,1.0
603392,0,646,14468,1,14541,2,0,2,5,8,0,0,0.996,1.0
603393,0,646,14468,1,20302,2,0,2,7,8,0,0,1.39,1.0
603394,0,646,14468,2,33307,2,0,2,5,8,0,0,2.281,1.0
603395,0,646,14468,1,21048,0,0,2,1,8,0,0,1.441,1.0
603396,0,646,14468,3,64536,1,0,3,1,2,0,0,3.784,1.0
603397,0,646,14468,4,129385,2,0,3,1,8,0,0,7.372,1.0
603398,0,646,14468,2,30579,0,0,4,3,8,0,0,1.378,1.0
603399,0,646,14468,1,5963,0,0,1,4,2,0,0,0.526,1.0
603400,0,646,14468,2,38263,0,0,1,4,8,0,0,3.373,1.0
603401,0,646,14468,2,34712,0,0,1,6,8,0,0,3.06,1.0
603402,0,646,14468,1,6567,2,0,4,1,8,0,0,0.297,1.0
603403,0,646,14468,1,14449,2,0,3,1,8,0,0,0.823,1.0
603404,0,646,14468,2,48403,2,0,8,2,8,0,0,1.306,1.0
603405,0,646,14468,1,16944,2,0,2,2,8,0,0,1.16,1.0
603406,0,646,14468,3,60385,3,0,6,1,8,0,0,1.969,1.0
603407,0,646,14468,1,21985,0,0,1,6,8,0,0,2.102,1.0
603408,0,646,14468,1,17623,0,0,2,7,8,0,0,1.337,1.0
603409,0,646,14468,2,45229,1,0,5,2,8,0,0,1.738,1.0
603410,0,646,14468,1,16729,0,0,9,3,8,0,0,0.397,1.0
603411,0,646,14468,3,75524,2,0,3,1,2,0,0,4.428,1.0
603412,0,646,14468,2,57742,1,0,4,1,8,0,0,2.526,1.0
603413,0,646,14468,3,67706,2,0,2,1,8,0,0,4.637,1.0
603414,0,646,14468,5,300485,3,0,3,3,8,0,0,17.617,1.0
603415,0,646,14468,2,31210,2,0,3,3,8,0,0,1.83,1.0
603416,0,646,14468,1,25555,1,0,6,3,8,0,0,0.877,1.0
603417,0,646,14468,4,105365,3,0,4,1,8,0,0,4.609,1.0
603418,0,646,14468,2,31817,2,0,2,2,8,0,0,2.179,1.0
828648,0,646,14477,1,20007,2,0,4,2,8,0,0,0.875,1.0
828649,0,646,14477,2,39429,0,0,1,6,1,0,0,3.77,1.0
828650,0,646,14477,3,62045,0,0,2,3,1,0,0,4.128,1.0
828651,0,646,14477,3,92425,1,0,3,1,1,0,0,5.266,1.0
828652,0,646,14477,1,14510,0,0,2,1,1,0,0,1.101,1.0
828653,0,646,14477,2,49047,0,0,2,2,1,0,0,3.263,1.0
828654,0,646,14477,4,108252,2,0,3,1,8,0,0,6.168,1.0
828655,0,646,14477,5,215248,1,0,2,1,1,0,0,14.741,1.0
828656,0,646,14477,1,28296,0,0,2,1,1,0,0,1.938,1.0
828657,0,646,14477,2,33508,3,0,3,1,1,0,0,1.964,1.0
828658,0,646,14477,2,34511,1,0,2,2,1,0,0,2.363,1.0
828659,0,646,14477,2,33078,0,0,2,3,8,0,0,2.51,1.0
828660,0,646,14477,5,191097,2,0,2,2,1,0,0,13.087,1.0
828661,0,646,14477,1,7850,2,0,3,1,1,0,0,0.447,1.0
828662,0,646,14477,2,32361,2,0,4,1,1,0,0,1.439,1.0
828663,0,646,14477,4,129943,2,0,5,1,1,0,0,4.791,1.0
828664,0,646,14477,1,26669,1,0,2,1,1,0,0,1.826,1.0
