hhID,personID,per_num,SUBREG,SUBREG_GRP,SUBREGCluster,PAge,PGender,PEmp,POcc,PComm,Pweight,SUBREG_GRPDummy,SUBREGClusterDummy
206,396,1,12,2,4,8,1,2,1,workFromHome,36.18711029,2,4
206,397,2,12,2,4,8,2,2,5,workFromHome,36.18711029,2,4
207,398,1,12,2,4,8,2,3,NA,NA,20.3367354,2,4
207,399,2,12,2,4,8,1,3,NA,NA,20.3367354,2,4
208,400,1,21,4,2,9,2,3,NA,NA,46.20553258,4,2
209,401,1,21,4,2,9,2,3,NA,NA,29.76898566,4,2
210,402,1,21,4,2,9,2,3,NA,NA,29.76898566,4,2
211,403,1,22,5,2,9,2,3,NA,NA,37.35369136,5,2
212,404,1,22,5,2,9,1,3,NA,NA,37.35369136,5,2
213,405,1,29,6,1,10,1,3,NA,NA,24.16290488,6,1
214,406,1,33,6,2,9,2,3,NA,NA,24.16290488,6,2
215,407,1,34,7,4,8,2,3,NA,NA,35.08183565,7,4
215,408,2,34,7,4,10,2,3,NA,NA,35.08183565,7,4
215,409,3,34,7,4,10,1,3,NA,NA,35.08183565,7,4
216,410,1,36,9,2,9,2,1,2,transit,27.40659837,9,2
217,411,1,38,11,4,8,2,1,5,transit,34.36724645,11,4
217,412,2,38,11,4,9,2,3,NA,NA,34.36724645,11,4
218,413,1,38,11,4,8,1,3,NA,NA,34.36724645,11,4
218,414,2,38,11,4,7,2,2,2,transit,34.36724645,11,4
218,415,3,38,11,4,1,1,3,NA,NA,34.36724645,11,4
218,416,4,38,11,4,1,2,3,NA,NA,34.36724645,11,4
219,417,1,39,11,2,9,2,3,NA,NA,34.36724645,11,2
221,420,1,42.1,13,1,9,1,3,NA,NA,48.53331743,13,1
222,421,1,42.1,13,1,9,2,3,NA,NA,37.91466497,13,1
223,422,1,42.2,14,1,9,2,3,NA,NA,38.48608728,14,1
223,423,2,42.2,14,1,9,1,3,NA,NA,38.48608728,14,1
224,424,1,43,15,3,9,1,3,NA,NA,37.21069356,15,3
224,425,2,43,15,3,9,2,3,NA,NA,37.21069356,15,3
225,426,1,43,15,3,9,2,3,NA,NA,37.21069356,15,3
225,427,2,43,15,3,9,1,3,NA,NA,37.21069356,15,3
226,428,1,47.1,17,1,9,2,3,NA,NA,22.37444169,17,1
227,429,1,47.1,17,1,9,2,3,NA,NA,22.37444169,17,1
228,430,1,47.2,18,2,8,1,1,7,transit,35.26367329,18,2
229,431,1,47.2,18,2,9,1,3,NA,NA,28.07877365,18,2
229,432,2,47.2,18,2,8,2,3,NA,NA,28.07877365,18,2
230,433,1,47.2,18,2,9,2,3,NA,NA,35.26367329,18,2
231,434,1,47.2,18,2,9,2,1,7,auto,35.26367329,18,2
232,435,1,51.1,19,1,8,1,3,NA,NA,32.82337558,19,1
