Region,SUBREGCluster,SUBREGClusterDummy,SUBREG_GRP,SUBREG_GRPDummy,SUBREG,TAZ
1,2,2,1,1,11.1,11010
1,2,2,1,1,11.1,11020
1,2,2,1,1,11.1,11030
1,2,2,1,1,11.1,11040
1,2,2,1,1,11.1,11050
1,2,2,1,1,11.1,11090
1,2,2,1,1,11.1,11060
1,2,2,1,1,11.1,11070
1,2,2,1,1,11.1,11080
1,2,2,1,1,11.1,11100
1,2,2,1,1,11.1,11110
1,2,2,1,1,11.1,11120
1,2,2,1,1,11.1,11130
1,2,2,1,1,11.1,11140
1,2,2,1,1,11.1,11150
1,2,2,1,1,11.1,11160
1,2,2,1,1,11.1,11170
1,2,2,1,1,11.1,11180
1,2,2,1,1,11.1,11190
1,2,2,1,1,11.1,11200
1,2,2,1,1,11.1,11210
1,2,2,1,1,11.1,11220
1,2,2,1,1,11.1,11230
1,2,2,1,1,11.1,11240
1,2,2,1,1,11.1,11250
1,2,2,1,1,11.1,11260
1,2,2,1,1,11.1,11270
1,2,2,1,1,11.1,11280
1,4,4,2,2,12,12010
1,4,4,2,2,12,12020
1,4,4,2,2,12,12030
1,4,4,2,2,12,12040
1,4,4,2,2,12,12050
1,4,4,2,2,12,12060
1,4,4,2,2,12,12070
1,4,4,2,2,12,12080
1,4,4,2,2,12,12130
1,4,4,2,2,12,12150
1,4,4,2,2,12,12090
1,4,4,2,2,12,12100
1,4,4,2,2,12,12110
1,4,4,2,2,12,12120
1,4,4,2,2,12,12140
1,4,4,2,2,12,12160
1,4,4,2,2,12,12170
1,4,4,2,2,12,12180
1,4,4,2,2,12,12190
1,4,4,2,2,12,12200
1,4,4,2,2,12,12210
1,4,4,2,2,12,12220
1,4,4,2,2,12,12250
1,4,4,2,2,12,12280
1,4,4,2,2,12,12230
1,4,4,2,2,12,12240
1,4,4,2,2,12,12260
1,4,4,2,2,12,12270
1,4,4,2,2,12,12290
1,4,4,2,2,12,12300
1,4,4,2,2,12,12310
1,4,4,2,2,12,12320
1,4,4,2,2,12,12330
1,4,4,2,2,12,12370
1,4,4,2,2,12,12380
1,4,4,2,2,12,12340
1,4,4,2,2,12,12350
1,4,4,2,2,12,12360
1,4,4,2,2,12,12390
1,4,4,2,2,12,12400
1,4,4,2,2,12,12410
1,4,4,2,2,12,12420
1,1,1,3,3,13.2,13010
1,1,1,3,3,13.2,13020
1,1,1,3,3,13.2,13030
1,1,1,3,3,13.2,13040
1,1,1,3,3,13.2,13050
1,1,1,3,3,13.1,13060
1,1,1,3,3,13.1,13070
1,1,1,3,3,13.2,13080
1,1,1,3,3,13.2,13090
1,1,1,3,3,13.2,13120
1,1,1,3,3,13.2,13150
1,1,1,3,3,13.2,13100
1,1,1,3,3,13.2,13110
1,1,1,3,3,13.1,13130
1,1,1,3,3,13.1,13140
